year,total_btu,full_source
1989,250,"Solar, Electric Utility"
1989,2112,"Wind, Electric Utility"
1989,2721,"Hydroelectric, Industrial"
1989,3,"Solar, Industrial"
1989,0,"Wind, Industrial"
1989,10,"Solar, Residential"
1990,136,"Hydroelectric, Commercial"
1990,15,"Solar, Commercial"
1990,0,"Wind, Commercial"
1990,15434,"Geothermal, Electric Utility"
1990,289752,"Hydroelectric, Electric Utility"
1990,367,"Solar, Electric Utility"
1990,2789,"Wind, Electric Utility"
1990,2975,"Hydroelectric, Industrial"
1990,3,"Solar, Industrial"
1990,0,"Wind, Industrial"
1990,11,"Solar, Residential"
1991,130,"Hydroelectric, Commercial"
1991,17,"Solar, Commercial"
1991,0,"Wind, Commercial"
1991,15966,"Geothermal, Electric Utility"
1991,286019,"Hydroelectric, Electric Utility"
1991,471,"Solar, Electric Utility"
1991,2952,"Wind, Electric Utility"
1991,2844,"Hydroelectric, Industrial"
1991,3,"Solar, Industrial"
1991,0,"Wind, Industrial"
1991,12,"Solar, Residential"
1992,121,"Hydroelectric, Commercial"
1992,18,"Solar, Commercial"
1992,0,"Wind, Commercial"
1992,16137,"Geothermal, Electric Utility"
1992,250015,"Hydroelectric, Electric Utility"
1992,399,"Solar, Electric Utility"
1992,2888,"Wind, Electric Utility"
1992,2950,"Hydroelectric, Industrial"
1992,4,"Solar, Industrial"
1992,0,"Wind, Industrial"
1992,13,"Solar, Residential"
1993,100,"Hydroelectric, Commercial"
1993,20,"Solar, Commercial"
1993,0,"Wind, Commercial"
1993,16788,"Geothermal, Electric Utility"
1993,277523,"Hydroelectric, Electric Utility"
1993,462,"Solar, Electric Utility"
1993,3006,"Wind, Electric Utility"
1993,2871,"Hydroelectric, Industrial"
1993,5,"Solar, Industrial"
1993,0,"Wind, Industrial"
1993,15,"Solar, Residential"
1994,94,"Hydroelectric, Commercial"
1994,23,"Solar, Commercial"
1994,0,"Wind, Commercial"
1994,15535,"Geothermal, Electric Utility"
1994,254005,"Hydroelectric, Electric Utility"
1994,486,"Solar, Electric Utility"
1994,3447,"Wind, Electric Utility"
1994,6026,"Hydroelectric, Industrial"
1994,5,"Solar, Industrial"
1994,0,"Wind, Industrial"
1994,16,"Solar, Residential"
1995,118,"Hydroelectric, Commercial"
1995,27,"Solar, Commercial"
1995,0,"Wind, Commercial"
1995,13379,"Geothermal, Electric Utility"
1995,305411,"Hydroelectric, Electric Utility"
1995,497,"Solar, Electric Utility"
1995,3164,"Wind, Electric Utility"
1995,5305,"Hydroelectric, Industrial"
1995,6,"Solar, Industrial"
1995,0,"Wind, Industrial"
1995,18,"Solar, Residential"
1996,126,"Hydroelectric, Commercial"
1996,30,"Solar, Commercial"
1996,0,"Wind, Commercial"
1996,14329,"Geothermal, Electric Utility"
1996,341157,"Hydroelectric, Electric Utility"
1996,521,"Solar, Electric Utility"
1996,3235,"Wind, Electric Utility"
1996,5877,"Hydroelectric, Industrial"
1996,7,"Solar, Industrial"
1996,0,"Wind, Industrial"
1996,20,"Solar, Residential"
1997,120,"Hydroelectric, Commercial"
1997,36,"Solar, Commercial"
1997,0,"Wind, Commercial"
1997,14726,"Geothermal, Electric Utility"
1997,350647,"Hydroelectric, Electric Utility"
1997,511,"Solar, Electric Utility"
1997,3288,"Wind, Electric Utility"
1997,5685,"Hydroelectric, Industrial"
1997,8,"Solar, Industrial"
1997,0,"Wind, Industrial"
1997,23,"Solar, Residential"
1998,120,"Hydroelectric, Commercial"
1998,40,"Solar, Commercial"
1998,0,"Wind, Commercial"
1998,14774,"Geothermal, Electric Utility"
1998,317868,"Hydroelectric, Electric Utility"
1998,502,"Solar, Electric Utility"
1998,3026,"Wind, Electric Utility"
1998,5349,"Hydroelectric, Industrial"
1998,8,"Solar, Industrial"
1998,0,"Wind, Industrial"
1998,28,"Solar, Residential"
1999,115,"Hydroelectric, Commercial"
1999,47,"Solar, Commercial"
1999,0,"Wind, Commercial"
1999,14828,"Geothermal, Electric Utility"
1999,314661,"Hydroelectric, Electric Utility"
1999,495,"Solar, Electric Utility"
1999,4488,"Wind, Electric Utility"
